feature_name,feature_type
托宾Q值A,numeric_or_missing_indicator
EVA率口径一,numeric_or_missing_indicator
销售EVA率口径一,numeric_or_missing_indicator
现金流到期债务保障倍数,numeric_or_missing_indicator
净资产收益率增长率A,numeric_or_missing_indicator
营业利润增长率A,numeric_or_missing_indicator
盈利波动性,numeric_or_missing_indicator
应付账款周转率A,numeric_or_missing_indicator
净利润现金净含量,numeric_or_missing_indicator
营运指数,numeric_or_missing_indicator
市盈率PE1,numeric_or_missing_indicator
现金流到期债务保障倍数_missing_ind,numeric_or_missing_indicator
净资产收益率增长率A_missing_ind,numeric_or_missing_indicator
营业利润增长率A_missing_ind,numeric_or_missing_indicator
盈利波动性_missing_ind,numeric_or_missing_indicator
市盈率PE1_missing_ind,numeric_or_missing_indicator
行业名称1_专业技术服务业,onehot_categorical
行业名称1_专用设备制造业,onehot_categorical
行业名称1_互联网和相关服务,onehot_categorical
行业名称1_仪器仪表制造业,onehot_categorical
行业名称1_住宿业,onehot_categorical
行业名称1_体育,onehot_categorical
行业名称1_公共设施管理业,onehot_categorical
行业名称1_其他制造业,onehot_categorical
行业名称1_其他服务业,onehot_categorical
行业名称1_其他金融业,onehot_categorical
行业名称1_农、林、牧、渔专业及辅助性活动,onehot_categorical
行业名称1_农业,onehot_categorical
行业名称1_农副食品加工业,onehot_categorical
行业名称1_化学原料和化学制品制造业,onehot_categorical
行业名称1_化学纤维制造业,onehot_categorical
行业名称1_医药制造业,onehot_categorical
行业名称1_卫生,onehot_categorical
行业名称1_印刷和记录媒介复制业,onehot_categorical
行业名称1_商务服务业,onehot_categorical
行业名称1_土木工程建筑业,onehot_categorical
行业名称1_多式联运和运输代理业,onehot_categorical
行业名称1_家具制造业,onehot_categorical
行业名称1_居民服务业,onehot_categorical
行业名称1_广播、电视、电影和录音制作业,onehot_categorical
行业名称1_废弃资源综合利用业,onehot_categorical
行业名称1_建筑安装业,onehot_categorical
行业名称1_建筑装饰、装修和其他建筑业,onehot_categorical
行业名称1_开采专业及辅助性活动,onehot_categorical
行业名称1_房地产业,onehot_categorical
行业名称1_房屋建筑业,onehot_categorical
行业名称1_批发业,onehot_categorical
行业名称1_教育,onehot_categorical
行业名称1_文化艺术业,onehot_categorical
行业名称1_文教、工美、体育和娱乐用品制造业,onehot_categorical
行业名称1_新闻和出版业,onehot_categorical
行业名称1_有色金属冶炼和压延加工业,onehot_categorical
行业名称1_有色金属矿采选业,onehot_categorical
行业名称1_木材加工和木、竹、藤、棕、草制品业,onehot_categorical
行业名称1_机动车、电子产品和日用产品修理业,onehot_categorical
行业名称1_林业,onehot_categorical
行业名称1_橡胶和塑料制品业,onehot_categorical
行业名称1_水上运输业,onehot_categorical
行业名称1_水利管理业,onehot_categorical
行业名称1_水的生产和供应业,onehot_categorical
行业名称1_汽车制造业,onehot_categorical
行业名称1_渔业,onehot_categorical
行业名称1_煤炭开采和洗选业,onehot_categorical
行业名称1_燃气生产和供应业,onehot_categorical
行业名称1_生态保护和环境治理业,onehot_categorical
行业名称1_电信、广播电视和卫星传输服务,onehot_categorical
行业名称1_电力、热力生产和供应业,onehot_categorical
行业名称1_电气机械和器材制造业,onehot_categorical
行业名称1_畜牧业,onehot_categorical
行业名称1_皮革、毛皮、羽毛及其制品和制鞋业,onehot_categorical
行业名称1_石油、煤炭及其他燃料加工业,onehot_categorical
行业名称1_石油和天然气开采业,onehot_categorical
行业名称1_研究和试验发展,onehot_categorical
行业名称1_科技推广和应用服务业,onehot_categorical
行业名称1_租赁业,onehot_categorical
行业名称1_管道运输业,onehot_categorical
行业名称1_纺织业,onehot_categorical
行业名称1_纺织服装、服饰业,onehot_categorical
行业名称1_综合,onehot_categorical
行业名称1_航空运输业,onehot_categorical
行业名称1_装卸搬运和仓储业,onehot_categorical
行业名称1_计算机、通信和其他电子设备制造业,onehot_categorical
行业名称1_货币金融服务,onehot_categorical
行业名称1_资本市场服务,onehot_categorical
行业名称1_软件和信息技术服务业,onehot_categorical
行业名称1_通用设备制造业,onehot_categorical
行业名称1_造纸和纸制品业,onehot_categorical
行业名称1_道路运输业,onehot_categorical
行业名称1_邮政业,onehot_categorical
行业名称1_酒、饮料和精制茶制造业,onehot_categorical
行业名称1_金属制品、机械和设备修理业,onehot_categorical
行业名称1_金属制品业,onehot_categorical
行业名称1_铁路、船舶、航空航天和其他运输设备制造业,onehot_categorical
行业名称1_铁路运输业,onehot_categorical
行业名称1_零售业,onehot_categorical
行业名称1_非金属矿物制品业,onehot_categorical
行业名称1_非金属矿采选业,onehot_categorical
行业名称1_食品制造业,onehot_categorical
行业名称1_餐饮业,onehot_categorical
行业名称1_黑色金属冶炼和压延加工业,onehot_categorical
行业名称1_黑色金属矿采选业,onehot_categorical
报表类型编码_A,onehot_categorical
