target,model,source,RMSE,MAE,R2,Pearson,Spearman,Top20_Precision,Top20_Recall,Top20_F1
Oscore,dummy_mean,sklearn,1.5530886348725688,1.2413610653376588,-7.681811822202178e-07,4.871171606947552e-16,,0.2000070849126784,1.0,0.33334317343173425
Oscore,dummy_median,sklearn,1.555937871218829,1.239348967869921,-0.0036732592707036,,,0.2000070849126784,1.0,0.33334317343173425
Oscore,linear,sklearn,1.2944924137056135,1.0257576241413549,0.3052846905091296,0.5525291492010694,0.5354910449735826,0.4089620970598654,0.4089620970598654,0.4089620970598654
Oscore,ridge,sklearn,1.2945223694597705,1.0257899665994583,0.3052525374248948,0.5524994109145308,0.5354343887364994,0.4087849805171803,0.4087849805171803,0.4087849805171803
Oscore,lasso,sklearn,1.3023168508920122,1.0328900383297992,0.2968610269917349,0.5449412235373117,0.5268491475086338,0.4032943676939426,0.4032943676939426,0.4032943676939426
Oscore,elasticnet,sklearn,1.2996103743320595,1.030492310692475,0.299780518832323,0.547596901668703,0.5298226272005542,0.4025859015232023,0.4025859015232023,0.4025859015232023
Oscore,random_forest,sklearn,1.1369598323996777,0.8981305881913795,0.4640823086752422,0.6837355319488653,0.6596868286904961,0.5217853347502657,0.5217853347502657,0.5217853347502657
Oscore,lightgbm,sklearn,1.0048016393505768,0.7892375033498871,0.5814295931675674,0.7637441489627005,0.7427074177900808,0.5809422600070847,0.5809422600070847,0.5809422600070847
Oscore,teacher,neural_network,1.079165965095989,0.8495298624038696,0.5171810388565063,0.7196220268382985,0.6977463136050455,0.5430393198724761,0.5430393198724761,0.5430393198724761
Oscore,improved_64_32,neural_network,1.0851294166098029,0.8540741801261902,0.5118301510810852,0.7218173049117597,0.699095727395436,0.5425079702444209,0.5425079702444209,0.5425079702444209
Oscore,improved_128_64,neural_network,1.0579046843126738,0.8290780186653137,0.5360181927680969,0.7330276715088161,0.7107946519584922,0.5504782146652497,0.5504782146652497,0.5504782146652497
Oscore,improved_256_128_64,neural_network,1.0102942612167192,0.7878091931343079,0.5768409967422485,0.7595958729302078,0.7392029410177519,0.5766914629826426,0.5766914629826426,0.5766914629826426
Zrisk,dummy_mean,sklearn,5.539111245998004,3.393483543334553,-4.314417172190943e-06,2.7479524239504254e-17,,0.2000266524520255,1.0,0.3333703498056634
Zrisk,dummy_median,sklearn,5.81915884508013,2.9568070699363678,-0.1036773330763953,-2.7479524239504254e-17,,0.2000266524520255,1.0,0.3333703498056634
Zrisk,linear,sklearn,3.838084089859307,2.2787182382101445,0.5198790353952107,0.7210302110558336,0.78098140024893,0.6140906062624917,0.6140906062624917,0.6140906062624917
Zrisk,ridge,sklearn,3.8380861294648,2.278177790823801,0.5198785251106031,0.7210293296302615,0.7810114932053638,0.6145902731512325,0.6145902731512325,0.6145902731512325
Zrisk,lasso,sklearn,3.840118976471476,2.273903562826327,0.5193697965706432,0.7206742448239101,0.7807130696121803,0.6145902731512325,0.6145902731512325,0.6145902731512325
Zrisk,elasticnet,sklearn,3.8400155235096736,2.273388339613779,0.5193956926163732,0.7206923447700921,0.7808380459072485,0.6140906062624917,0.6140906062624917,0.6140906062624917
Zrisk,random_forest,sklearn,3.4201544844178446,1.845375105530317,0.6187471095869205,0.7875926405273458,0.8111784073786992,0.6442371752165224,0.6442371752165224,0.6442371752165224
Zrisk,lightgbm,sklearn,3.0353686827319586,1.6374792191596688,0.6997074231040545,0.8370500548935785,0.8468940875525699,0.6802131912058628,0.6802131912058628,0.6802131912058628
Zrisk,teacher,neural_network,3.0813519753068683,1.6653343439102173,0.6905401349067688,0.8313104968911627,0.8368799606994268,0.6643904063957362,0.6643904063957362,0.6643904063957362
Zrisk,improved_64_32,neural_network,3.2497931194483547,1.5885522365570068,0.6557823419570923,0.8213905081273696,0.8570864188058166,0.6965356429047301,0.6965356429047301,0.6965356429047301
Zrisk,improved_128_64,neural_network,3.1362246531575577,1.5438482761383057,0.6794202327728271,0.8316249481856149,0.8629118243311327,0.706528980679547,0.706528980679547,0.706528980679547
Zrisk,improved_256_128_64,neural_network,3.023214642495165,1.4947322607040403,0.7021074295043945,0.844747684069977,0.8670792117259913,0.709526982011992,0.709526982011992,0.709526982011992
